geo_type,region,transportation_type,alternative_name,sub-region,country,Date,Frequency
city,Charlotte,driving,NA,North Carolina,United States,2020-08-08,153.69
city,Charlotte,driving,NA,North Carolina,United States,2020-08-09,118.23
city,Charlotte,driving,NA,North Carolina,United States,2020-08-10,132.81
city,Charlotte,driving,NA,North Carolina,United States,2020-08-11,135.44
city,Charlotte,driving,NA,North Carolina,United States,2020-08-12,138.09
city,Charlotte,driving,NA,North Carolina,United States,2020-08-13,139.86
city,Charlotte,driving,NA,North Carolina,United States,2020-08-14,160.18
city,Charlotte,driving,NA,North Carolina,United States,2020-08-15,147.97
city,Charlotte,driving,NA,North Carolina,United States,2020-08-16,118.83
city,Charlotte,driving,NA,North Carolina,United States,2020-08-17,128.5
city,Charlotte,driving,NA,North Carolina,United States,2020-08-18,132.4
city,Charlotte,driving,NA,North Carolina,United States,2020-08-19,131.72
city,Charlotte,driving,NA,North Carolina,United States,2020-08-20,138.25
city,Charlotte,driving,NA,North Carolina,United States,2020-08-21,151.85
city,Charlotte,driving,NA,North Carolina,United States,2020-08-22,155.88
city,Charlotte,driving,NA,North Carolina,United States,2020-08-23,114.28
city,Charlotte,driving,NA,North Carolina,United States,2020-08-24,129.46
city,Charlotte,driving,NA,North Carolina,United States,2020-08-25,127.92
city,Charlotte,driving,NA,North Carolina,United States,2020-08-26,132.67
city,Charlotte,driving,NA,North Carolina,United States,2020-08-27,135.75
city,Charlotte,driving,NA,North Carolina,United States,2020-08-28,154.76
city,Charlotte,driving,NA,North Carolina,United States,2020-08-29,146.62
city,Charlotte,driving,NA,North Carolina,United States,2020-08-30,112.56
city,Charlotte,driving,NA,North Carolina,United States,2020-08-31,119.98
city,Charlotte,driving,NA,North Carolina,United States,2020-09-01,132.63
city,Charlotte,driving,NA,North Carolina,United States,2020-09-02,134.49
city,Charlotte,driving,NA,North Carolina,United States,2020-09-03,143.99
city,Charlotte,driving,NA,North Carolina,United States,2020-09-04,169.49
city,Charlotte,driving,NA,North Carolina,United States,2020-09-05,153.06
city,Charlotte,driving,NA,North Carolina,United States,2020-09-06,120.6
city,Charlotte,driving,NA,North Carolina,United States,2020-09-07,114.78
city,Charlotte,driving,NA,North Carolina,United States,2020-09-08,131.1
city,Charlotte,driving,NA,North Carolina,United States,2020-09-09,131.11
city,Charlotte,driving,NA,North Carolina,United States,2020-09-10,136.92
city,Charlotte,driving,NA,North Carolina,United States,2020-09-11,159.73
city,Charlotte,driving,NA,North Carolina,United States,2020-09-12,155
city,Charlotte,driving,NA,North Carolina,United States,2020-09-13,115.58
city,Charlotte,driving,NA,North Carolina,United States,2020-09-14,128.33
city,Charlotte,driving,NA,North Carolina,United States,2020-09-15,134.16
city,Charlotte,driving,NA,North Carolina,United States,2020-09-16,134.11
city,Charlotte,driving,NA,North Carolina,United States,2020-09-17,124.24
city,Charlotte,driving,NA,North Carolina,United States,2020-09-18,159.79
city,Charlotte,driving,NA,North Carolina,United States,2020-09-19,159.25
city,Charlotte,driving,NA,North Carolina,United States,2020-09-20,113.19
city,Charlotte,driving,NA,North Carolina,United States,2020-09-21,124.54
city,Charlotte,driving,NA,North Carolina,United States,2020-09-22,127.32
city,Charlotte,driving,NA,North Carolina,United States,2020-09-23,131.83
city,Charlotte,driving,NA,North Carolina,United States,2020-09-24,132.71
city,Charlotte,driving,NA,North Carolina,United States,2020-09-25,147.59
city,Charlotte,driving,NA,North Carolina,United States,2020-09-26,152.47
city,Charlotte,driving,NA,North Carolina,United States,2020-09-27,109.9
city,Charlotte,driving,NA,North Carolina,United States,2020-09-28,124.28
city,Charlotte,driving,NA,North Carolina,United States,2020-09-29,118.13
city,Charlotte,driving,NA,North Carolina,United States,2020-09-30,128.95
city,Charlotte,driving,NA,North Carolina,United States,2020-10-01,136.06
city,Charlotte,driving,NA,North Carolina,United States,2020-10-02,158.3
city,Charlotte,driving,NA,North Carolina,United States,2020-10-03,155.48
city,Charlotte,driving,NA,North Carolina,United States,2020-10-04,110.19
city,Charlotte,driving,NA,North Carolina,United States,2020-10-05,122.62
city,Charlotte,driving,NA,North Carolina,United States,2020-10-06,124.6
city,Charlotte,driving,NA,North Carolina,United States,2020-10-07,129.06
city,Charlotte,driving,NA,North Carolina,United States,2020-10-08,133.11
city,Charlotte,driving,NA,North Carolina,United States,2020-10-09,153.49
city,Charlotte,driving,NA,North Carolina,United States,2020-10-10,139.66
city,Charlotte,driving,NA,North Carolina,United States,2020-10-11,98.79
city,Charlotte,driving,NA,North Carolina,United States,2020-10-12,119.6
city,Charlotte,driving,NA,North Carolina,United States,2020-10-13,125.35
city,Charlotte,driving,NA,North Carolina,United States,2020-10-14,127.56
city,Charlotte,driving,NA,North Carolina,United States,2020-10-15,133.41
city,Charlotte,driving,NA,North Carolina,United States,2020-10-16,155.24
city,Charlotte,driving,NA,North Carolina,United States,2020-10-17,154.99
city,Charlotte,driving,NA,North Carolina,United States,2020-10-18,112.28
city,Charlotte,driving,NA,North Carolina,United States,2020-10-19,123.9
city,Charlotte,driving,NA,North Carolina,United States,2020-10-20,128.68
city,Charlotte,driving,NA,North Carolina,United States,2020-10-21,131.77
city,Charlotte,driving,NA,North Carolina,United States,2020-10-22,132.26
city,Charlotte,driving,NA,North Carolina,United States,2020-10-23,158.18
city,Charlotte,driving,NA,North Carolina,United States,2020-10-24,156.75
